"Criterion","Required research question"
"Core mapping","Can every adapter outcome map exactly to Active, Expired, Suspended, Unavailable, or Unrecognized?"
"Authority","Who publishes, rotates, retires, and recovers status evidence?"
"Freshness","What is the maximum permitted evidence age?"
"Offline use","What evidence permits offline Active, and for how long?"
"Suspension","Can reversible suspension be distinguished from permanent revocation?"
"Equivocation","What happens if valid conflicting authority evidence is observed?"
"Correlation","Can index, status reference, request, or retrieval behavior correlate holder activity?"
"Privacy","Does verification reveal credential use to the issuer or status authority?"
"Implementation maturity","Are there maintained independent implementations and conformance vectors?"
"Recovery","How are authority compromise, key rotation, and publication rollback handled?"
